# count	conf	class	subs	raw	preset
477	high	Ardennes / Achouffe (WLP550)	0	Wyeast - Belgian Ardennes 3522	3522 Belgian Ardennes
453	high	solo:oyl-057	0	Omega Yeast Labs - HotHead Ale OYL-057	OYL-057 Hothead Kveik
451	high	East Coast Ale (WLP008)	1	White Labs - East Coast Ale Yeast WLP008	WLP008 East Coast Ale Yeast
447	high	Ardennes / Achouffe (WLP550)	0	White Labs - Belgian Ale Yeast WLP550	WLP550 Belgian Ale Yeast
446	high	Belle Saison / French Saison (3711)	5	Mangrove Jack - French Saison Ale M29	M29 French Saison Yeast
440	high	solo:be-256	4	Fermentis - Safbrew - Abbaye Yeast BE-256	SafAle BE-256
435	medium	Conan (Vermont Ale)	0	GigaYeast - Vermont IPA Yeast	Vermont Ale
418	high	Irish Ale (1084)	0	Imperial Yeast - A10 Darkness	A10 Darkness
395	high	solo:a24	0	Imperial Yeast - A24 Dry Hop	A24 Dry Hop
391	high	Chimay (Trappist, WLP500)	4	Wyeast - Belgian Ale 1214	1214 Belgian Abbey Style Ale
389	high	California Common / Anchor Steam (WLP810)	0	Wyeast - California Lager 2112	2112 California Lager
380	high	solo:wlp566	0	White Labs - Belgian Saison II Yeast WLP566	WLP566 Belgian Saison II Ale Yeast
371	high	Burton / Thames Valley (1275)	1	White Labs - Burton Ale Yeast WLP023	WLP023 Burton Ale Yeast
364	high	Windsor (Whitbread B)	1	Mangrove Jack - Empire Ale M15	M15 Empire Ale Yeast
362	high	Conan (Vermont Ale)	0	Imperial Yeast - A04 Barbarian	A04 Barbarian
354	high	solo:m84	3	Mangrove Jack - Bohemian Lager Yeast M84	M84 Bohemian Lager Yeast
353	high	West Yorkshire / Timothy Taylor (1469)	0	Wyeast - West Yorkshire 1469	1469 West Yorkshire Ale
350	high	solo:wlp800	2	White Labs - Pilsner Lager Yeast WLP800	WLP800 Pilsner Lager Yeast
342	high	California Common / Anchor Steam (WLP810)	0	White Labs - San Francisco Lager Yeast WLP810	WLP810 San Francisco Lager Yeast
342	high	Belgian Wit II (WLP410)	0	Mangrove Jack - Belgian Wit M21	M21 Belgian Wit Yeast
336	high	British Ale I (Whitbread)	3	Imperial Yeast - A01 House	A01 House
334	high	solo:wlp080	0	White Labs - Cream Ale Yeast Blend WLP080	WLP080 Cream Ale Yeast Blend
330	high	solo:s-189	0	Fermentis - Saflager - Swiss Lager Yeast S-189	SafLager S-189
323	low		0	Coopers Ale	
320	high	Diamond (Munich 2308)	4	Wyeast - Munich Lager 2308	2308 Munich Lager
318	high	Duvel (Belgian Golden, WLP570)	1	Wyeast - Belgian Strong Ale 1388	1388 Belgian Strong Ale
311	medium	Fuller's (WLP002)	4	Danstar - London ESB Yeast	English Ale I
303	medium	Chimay (Trappist, WLP500)	3	Fermentis - Safbrew - Abbaye Yeast	LalBrew Abbaye
298	high	Mexican Lager / Dos Equis (WLP940)	1	White Labs - Mexican Lager Yeast WLP940	WLP940 Mexican Lager Yeast
298	high	Conan (Vermont Ale)	0	Omega Yeast Labs - DIPA Ale OYL-052	OYL-052 DIPA Ale
295	high	Burton / Thames Valley (1275)	1	Wyeast - Thames Valley Ale 1275	1275 Thames Valley Ale
295	high	BE-134 (Saison Dupont)	2	Mangrove Jack - Belgian Ale Yeast M41	M41 Belgian Ale Yeast
294	high	Rochefort / Abbey IV (WLP540)	0	Wyeast - Belgian Abby Ale II 1762	1762 Belgian Abbey Style Ale II
288	high	Adnams (Southwold 1335)	0	Wyeast - British Ale 1335	1335 British Ale II
288	medium	Munich Helles / Augustiner (WLP860)	0	Imperial Yeast - L17 Harvest	Biergarten Lager
279	high	solo:1187	2	Wyeast - Ringwood Ale 1187	1187 Ringwood Ale
279	high	Trois (Saccharomyces 'brux-like')	0	Imperial Yeast - A20 Citrus	A20 Citrus
270	high	solo:m76	2	Mangrove Jack - Bavarian Lager M76	M76 Bavarian Lager Yeast
266	high	East Coast Ale (WLP008)	1	Danstar - Lalbrew New England East Coast Ale Yeast	OYL-032 East Coast Ale
258	high	Trois (Saccharomyces 'brux-like')	0	Omega Yeast Labs - Tropical IPA OYL-200	OYL-200 Tropical IPA
256	high	Duvel (Belgian Golden, WLP570)	1	White Labs - Belgian Golden Ale Yeast WLP570	WLP570 Belgian Golden Ale Yeast
251	high	Windsor (Whitbread B)	1	Wyeast - Whitbread Ale 1099	1099 Whitbread Ale
250	high	solo:a09	2	Imperial Yeast - A09 Pub	A09 Pub
248	high	American Hefeweizen (Widmer)	1	White Labs - American Hefeweizen Ale Yeast WLP320	WLP320 American Hefeweizen Ale Yeast
247	high	Weihenstephan 3068 (WLP380)	0	White Labs - Hefeweizen IV Ale Yeast WLP380	WLP380 Hefeweizen IV Ale Yeast
244	high	solo:wlp820	3	White Labs - Oktoberfest/Märzen Lager Yeast WLP820	WLP820 Oktoberfest/Marzen Lager Yeast
244	high	Conan (Vermont Ale)	0	White Labs - Burlington Ale Yeast WLP095	WLP095 Burlington Ale Yeast
243	high	Southern German Lager (WLP838)	1	White Labs - Southern German Lager Yeast WLP838	WLP838 Southern German Lager Yeast
243	medium	Munich Helles / Augustiner (WLP860)	0	Danstar - Munich Dry Wheat Yeast	Biergarten Lager
240	low		0	 - Default - - -	
240	high	Voss	0	Imperial Yeast - A43 Loki	A43 Loki
232	high	solo:m31	0	Mangrove Jack - Belgian Tripel M31	M31 Belgian Tripel Yeast
231	high	Weihenstephan 34/70 (WLP830)	3	Wyeast - Czech Pils 2278	2278 Czech Pils
224	high	Belle Saison / French Saison (3711)	3	White Labs - Belgian Strong Ale Yeast WLP545	WLP545 Belgian Strong Ale Yeast
222	high	Chico (West Coast)	3	Omega Yeast Labs - West Coast Ale I OYL-004	OYL-004 West Coast Ale I
221	high	Voss	0	The Yeast Bay - Sigmund's Voss Kveik	Voss Kveik
217	high	American Ale II (1272)	3	Mangrove Jack - US West Coast Yeast	American Ale
217	high	solo:wlp099	0	White Labs - Super High Gravity Ale Yeast WLP099	WLP099 Super High Gravity Ale Yeast
212	high	solo:m47	2	Mangrove Jack - Belgian Abbey M47	M47 Belgian Abbey Yeast
209	high	solo:wlp840	1	White Labs - American Lager Yeast WLP840	WLP840 American Lager Yeast
205	low		0	White Labs - Champagne Yeast WLP715	
203	high	Roeselare (Rodenbach Blend)	0	Wyeast - Roeselare Ale Blend 3763	3763 Roeselare Ale Blend
202	high	Trois (Saccharomyces 'brux-like')	0	White Labs - Saccharomyces "Bruxellensis" Trois WLP644	WLP644 Saccharomyces brux-like Trois
200	medium	American Ale II (1272)	3	Fermentis - Safale - American Ale Yeast US-56	American Ale
198	high	Budvar (Czech Budejovice, WLP802)	0	White Labs - Czech Budejovice Lager Yeast WLP802	WLP802 Czech Budejovice Lager Yeast
192	high	Pacific NW / BridgePort (1332)	1	White Labs - Pacific Ale Yeast WLP041	WLP041 Pacific Ale Yeast
191	high	Pilsen Lager (2007)	0	Wyeast - Pilsen Lager 2007	2007 Pilsen Lager
188	high	solo:2633	0	Wyeast - Octoberfest Lager Blend 2633	2633 Octoberfest Lager Blend
186	medium	Kölsch (WLP029)	1	Imperial Yeast - G03 Dieter	Kolsch Ale
184	high	solo:wlp670	0	White Labs - American Farmhouse Blend WLP670	WLP670 American Farmhouse Blend
180	medium	S-23 (Pilsner Urquell H-Strain)	3	Muntons Premium Gold	Premium Pils
