# count	conf	archetype	colorL	name
958	high	base-pale	1.8	Briess - Brewers Malt 2-Row
937	medium	munich-light	12	German - Red X
906	high	chocolate-malt	412.8	German - Chocolate Wheat
900	high	wheat-malt	2	Finland - Wheat Malt
898	high	wheat-malt	2	Canadian - Pale Wheat
891	high	munich-light	10	American - Bonlander Munich
889	high	crystal-medium	50	United Kingdom - Crystal 50L
875	high	chocolate-malt	239.8	German - Chocolate Rye
843	high	roasted-barley	574.7	Belgian - Roasted Barley
840	high	crystal-medium	70	United Kingdom - Crystal 70L
840	high	chocolate-malt	337.9	Finland - Chocolate Malt
824	high	crystal-dark	89.9	United Kingdom - Crystal 90L
820	high	crystal-dark	140	United Kingdom - Crystal 140L
802	high	extract	4	Briess - DME Golden Light
792	high	extract	8	Liquid Malt Extract - Munich
787	high	extract	2	Briess - DME Pilsen Light
772	high	black-malt	500	American - Blackprinz
739	high	crystal-light	15	United Kingdom - Crystal 15L
705	high	sugar	10	Turbinado
700	low	base-pale	1.4	United Kingdom - Lager
698	high	dextrine	1.8	United Kingdom - Dextrine Malt
690	high	crystal-light	22	Belgian - Cara 20L
688	high	munich-light	10	Canadian - Munich Light
686	high	black-malt	530	American - Black Barley
686	low	chocolate-malt	150	United Kingdom - Coffee Malt
678	high	base-pale	3.5	Briess - Pale Ale Malt 2-Row
663	high	crystal-medium	42	Belgian - Cara 45L
658	high	base-pale	3	New Zealand - Ale Malt
653	high	wheat-malt	2.5	Briess - Wheat Malt, White
652	high	wheat-malt	2.1	New Zealand - Wheat Malt
649	high	wheat-malt	2	Belgian - Unmalted Wheat
639	high	munich-light	7	Finland - Munich Malt
623	high	flaked-oats	1.3	United Kingdom - Malted Naked Oats
623	high	pilsner	1.2	Briess - Pilsen Malt 2-Row
607	high	sugar	28.1	Maple Syrup
602	high	crystal-light	33.9	United Kingdom - Carastan (30/37)
598	medium	dark-candi-syrup	60	Belgian Candi Sugar - Amber/Brown (60L)
596	high	pilsner	1.9	New Zealand - Pilsner Malt
595	medium	melanoidin	17	German - Abbey Malt
595	high	crystal-medium	55	American - CaraCrystal Wheat Malt
584	high	black-malt	566	Belgian - De-Bittered Black
570	high	extract	4	Briess - LME Golden Light
565	high	base-pale	30	American - Pale 2-Row - Toasted
559	high	crystal-dark	159.8	United Kingdom - Extra Dark Crystal 160L
547	high	wheat-malt	6.5	German - Dark Wheat
546	high	crystal-dark	90	United Kingdom - Crystal Rye
519	high	base-pale	2.5	New Zealand - American Ale Malt
512	high	crystal-dark	470	German - De-Husked Caraf III
494	low	base-pale	2	German - Spelt Malt
482	high	flaked-oats	2.5	Briess - Brewers Oat Flakes
477	medium	dark-candi-syrup	275	Belgian Candi Sugar - Dark (275L)
475	high	smoked-malt	2.5	United Kingdom - Peated Malt
466	high	extract	2	Briess - LME Pilsen Light
460	high	crystal-medium	56.2	New Zealand - Medium Crystal Malt
460	high	crystal-light	31.9	New Zealand - Light Crystal Malt
460	high	munich-light	7.9	New Zealand - Munich Malt
458	medium	dark-candi-syrup	180	Candi Syrup - Belgian Candi Syrup - D-180
446	high	pilsner	1.5	Weyermann - Pilsner
443	high	vienna	3	Finland - Vienna Malt
442	low	base-pale	1.4	Briess - Barley, Flaked
