# count	conf	canonical	raw
140	high	Pioneer	Pioneer
138	high	Premiant	Premiant
136	low	Fuggle	fuggles
133	high	Citra	Citra (US)
133	high	Magnum	Magnum (15 AA)
129	high	Enigma	enigma
129	high	Zappa	Zappa
128	high	Hallertau Mittelfrüh	Hallertauer
127	high	Polaris	polaris
125	medium	Ekuanot	Yakima Chief Hops - Ekuanot LupuLN2 (Cryo)
122	high	Marynka	Marynka
122	high	Meridian	Meridian
120	high	African Queen	Yakima Valley Hops - African Queen
120	high	Denali	Denali
119	high	Medusa	Medusa
117	medium	Galaxy	Northern Brewer - Australian Galaxy
117	high	Cascade	Yakima Valley Hops - Cascade
115	high	Columbus	Columbus (Tomahawk)
115	high	Centennial	Yakima Valley Hops - Centennial
113	high	Saaz	Saaz (3.5 AA)
112	high	Bobek	Bobek
111	high	Perle	perle
107	high	Denali	Crosby Hop Farm - denali
104	high	Citra	Yakima Chief Hops - Citra
103	high	Lemondrop	lemon drop
103	high	Azacca	Azacca (15 AA)
103	medium	Cascade	Cascade LupuLN2
101	high	Sovereign	Sovereign
101	high	Simcoe	Yakima Chief Hops - Simcoe
100	high	Pacific Jade	pacific jade
99	high	Dr. Rudi	Super Alpha
95	high	Idaho 7	Artisan - Idaho #7
95	high	Strata	strata
94	high	Idaho 7	idaho 7
93	high	Galaxy	Galaxy (AU)
93	high	East Kent Goldings	East Kent Goldings (5 AA)
93	high	Cascade	Northern Brewer - Cascade
91	high	Aurora	Super Styrians
91	medium	East Kent Goldings	BSG - East Kent Goldings
89	high	Nugget	nugget
87	high	Mt. Rainier	Mount Rainier
87	high	Southern Promise	Yakima Valley Hops - Southern Promise
86	medium	Ekuanot	Ekuanot LupuLN2
86	high	Sladek	Sladek
86	high	Idaho 7	Yakima Valley Hops - idaho 7
86	high	Sticklebract	Sticklebract
85	high	Herkules	herkules
84	high	Lemondrop	lemondrop
83	high	Eureka	eureka
82	high	Warrior	warrior
82	high	Hüll melon	Yakima Valley Hops - Hull Melon
82	high	Cashmere	Yakima Valley Hops - cashmere
81	high	East Kent Goldings	Goldings, East Kent
80	high	Ariana	Ariana
80	high	Southern Passion	Southern Passion
79	medium	Spalt	Spalt Select
79	high	Wakatu	wakatu
79	high	Mosaic	Mosaic™ (US)
78	high	Celeia	Celeia
78	high	Barbe Rouge	Barbe Rouge
77	high	Pekko	Yakima Valley Hops - pekko
77	medium	Citra	BSG - Citra
75	high	Pekko	Pekko
75	high	BRU-1	Yakima Valley Hops - BRU-1
74	medium	Cluster	Yakima Cluster
74	high	Sladek	sladek
74	high	Sabro	HBC 438
74	high	Amarillo	Amarillo (US)
73	high	Azacca	Yakima Valley Hops - Azacca
